MoltStartDate,MoltDuration,HauloutDuration,AgeSexCat
129.2984004,34.48448251,28,JuvenileFemale
129.3450427,13.11225341,47,JuvenileFemale
131.0567526,7.596965909,42,JuvenileFemale
131.4186376,12.39488874,36,JuvenileFemale
131.506581,11.0102386,48,JuvenileFemale
131.5415302,9.08749815,40,JuvenileFemale
132.1664271,6.481684521,43,JuvenileFemale
132.7671507,10.95200455,37,JuvenileFemale
135.4715477,11.80611685,35,JuvenileFemale
136.3965303,9.67666065,43,JuvenileFemale
137.513502,9.919301477,42,JuvenileFemale
137.8623941,16.13619193,50,JuvenileFemale
138.3786416,15.11582484,54,JuvenileFemale
139.4881714,8.447686699,36,JuvenileFemale
141.9406722,8.909349196,33,JuvenileFemale
142.9230042,6.2045505,31,JuvenileFemale
143.0034704,27.74890614,36,JuvenileFemale
146.1344452,8.050654334,37,JuvenileFemale
147.3476888,7.811799336,38,JuvenileFemale
148.2443948,15.66591159,35,JuvenileFemale
99.65878767,5.129692144,43,AdultFemale
102.4735025,8.033916213,58,AdultFemale
104.0128268,7.193662275,41,AdultFemale
106.502211,7.028369928,58,AdultFemale
107.2538838,6.171155144,47,AdultFemale
107.5752808,8.516916659,55,AdultFemale
108.1899285,7.456727808,55,AdultFemale
108.3143719,6.821788412,44,AdultFemale
108.3752567,7.526469434,49,AdultFemale
108.7154972,4.476914147,40,AdultFemale
109.05462,5.934360096,60,AdultFemale
109.5949429,3.835925167,40,AdultFemale
109.6665827,7.111854503,66,AdultFemale
110.3033097,6.37260635,56,AdultFemale
110.547227,9.59415444,54,AdultFemale
110.6170993,6.265594075,45,AdultFemale
111.2558812,6.247422318,58,AdultFemale
111.3593721,8.333057094,60,AdultFemale
111.7834574,7.188773275,44,AdultFemale
112.0903406,5.984523074,49,AdultFemale
112.1298719,6.511183494,51,AdultFemale
112.2348586,5.774455106,43,AdultFemale
112.3129617,4.302891195,42,AdultFemale
113.1909897,7.964509434,48,AdultFemale
113.3598563,7.091908235,50,AdultFemale
114.1645747,6.628424491,34,AdultFemale
114.6377587,4.995345294,55,AdultFemale
115.0554419,6.184180928,43,AdultFemale
115.2227061,5.14434846,46,AdultFemale
115.3434524,6.935465057,52,AdultFemale
116.3163048,5.500639098,41,AdultFemale
116.7800927,5.953298954,48,AdultFemale
116.8079349,9.247099574,52,AdultFemale
